step,crossentropy,val crossentropy,acc,val acc,precision,val precision,recall,val recall,f1,val f1
1,0.5602950617832397,0.49230706634429783,0.7924187725631769,0.806640625,0.7941542158595922,0.8067107372559034,0.7787680505415162,0.8064903846153846,0.7834405953784066,0.8065970067221385
2,0.49461806802220293,0.49301666995653737,0.8039824007220217,0.8052884615384616,0.8044132915214511,0.8052884615384616,0.8032490974729242,0.8052884615384616,0.8037988957730441,0.8052884615384616
3,0.49419599303484824,0.493634880018922,0.8046028880866426,0.8051382211538461,0.804464412187411,0.8053685899537343,0.8048285198555957,0.8046875,0.8046356801091549,0.8050170592390574
4,0.4952876761232903,0.4920847365775934,0.8035311371841155,0.8058894230769231,0.8034570960576783,0.8058894230769231,0.8050541516245487,0.8058894230769231,0.8040124161794298,0.8058894230769231
