step,crossentropy,val crossentropy,acc,val acc,precision,val precision,recall,val recall,f1,val f1
1,0.7243953761847123,0.49877545867974943,0.7576992753623188,0.8061899038461539,0.7559655341117278,0.8061899038461539,0.8258605072463768,0.8061899038461539,0.780352786615275,0.8061899038461539
2,0.4997582897759866,0.5025986180855677,0.8043478260869565,0.8055889423076923,0.8043478260869565,0.8055889423076923,0.8043478260869565,0.8055889423076923,0.8043478260869565,0.8055889423076923
3,0.4990267587312754,0.4931515592795152,0.8050271739130435,0.8055889423076923,0.8050271739130435,0.8055889423076923,0.8050271739130435,0.8055889423076923,0.8050271739130435,0.8055889423076923
4,0.5025534815546395,0.49358152598142624,0.8046875,0.8058894230769231,0.8046875,0.8058894230769231,0.8046875,0.8058894230769231,0.8046875,0.8058894230769231
5,0.4958101074764694,0.49154571558420473,0.8048007246376812,0.8067908653846154,0.8048007246376812,0.8067908653846154,0.8048007246376812,0.8067908653846154,0.8048007246376812,0.8067908653846154
