step,crossentropy,val crossentropy,acc,val acc,precision,val precision,recall,val recall,f1,val f1
1,0.8216339982506158,0.5888366868289617,0.7387341485507246,0.8057391826923077,0.7522362903624341,0.8058560364521467,0.6971240942028986,0.8055889423076923,0.7188239638572154,0.8057214377018121
2,0.5551523884785348,0.551284368794698,0.7764945652173914,0.7991286057692307,0.7945220848356468,0.8057935604682336,0.7409420289855072,0.7887620192307693,0.7647664894660314,0.7970776649621817
3,0.5945267074781916,0.59289817741284,0.7597939311594203,0.8058894230769231,0.7767824079247488,0.8068111756673226,0.7180706521739131,0.8043870192307693,0.74375419318676,0.80558563883488
4,0.5826357935649761,0.5648773885690249,0.7609827898550725,0.7701322115384616,0.7808888463870339,0.7919605821371078,0.7169384057971014,0.7328725961538461,0.7451705474784409,0.7609821672622974
5,0.5755495105100714,0.9006168876702969,0.763473731884058,0.4586838942307692,0.7806997175017992,0.4417955359587303,0.7288269927536232,0.31640625,0.752602003082849,0.36821146166095364
