step,crossentropy,val crossentropy,acc,val acc,precision,val precision,recall,val recall,f1,val f1
1,0.2316408976508308,0.21724699165385503,0.42506781193490056,0.8064903846153846,0.1252926926770219,0.0,0.5961723932036439,0.0,0.1965998593738023,0.0
2,0.21807010690083772,0.2172644752292679,0.49276672694394213,0.19381009615384615,0.09144816155567308,0.19381009615384615,0.47739602169981915,0.9519230769230769,0.14850193741739767,0.3126606585529561
3,0.21827298800240374,0.21717994366414273,0.45004520795660036,0.8067908653846154,0.11512959615123639,0.0,0.5798673900299003,0.0,0.18710190856704662,0.0
4,0.21784640969893815,0.21733268128278163,0.5285940325497287,0.8055889423076923,0.08591772152437654,0.0,0.4376130198915009,0.0,0.1397836601620988,0.0
5,0.21762796856503375,0.21694810301638567,0.528254972875226,0.8064903846153846,0.09018987341772151,0.0,0.4430379746835443,0.0,0.14570514415853925,0.0
