step,crossentropy,val crossentropy,acc,val acc,precision,val precision,recall,val recall,f1,val f1
1,0.2394211244976542,0.21793729274605328,0.491749547920434,0.19381009615384615,0.10444804604348826,0.19381009615384615,0.508438818682167,0.9663461538461539,0.1659945293749004,0.3138031051494181
2,0.21824224883350282,0.21739590920221347,0.4802215189873418,0.19381009615384615,0.09850813747530174,0.19381009615384615,0.49412296564195296,0.9615384615384616,0.15908403794330025,0.31331644923641133
3,0.21796116633020732,0.21745204832404852,0.4004294755877034,0.8052884615384616,0.12863170585947054,0.0,0.64376130198915,0.0,0.207944308372238,0.0
4,0.21785779119507961,0.21724217814894822,0.4996609403254973,0.19411057692307693,0.0977622061482821,0.19411057692307693,0.48282097649186256,0.9807692307692307,0.15759795734399482,0.31497941843162364
5,0.21798173153594433,0.2173219175579456,0.5444168173598554,0.8055889423076923,0.07945298372513562,0.0,0.40325497287522605,0.0,0.1285382077825436,0.0
6,0.21748664131755208,0.21707621223938006,0.6526898734177216,0.19381009615384615,0.04848553345388788,0.19381009615384615,0.23869801084990958,0.9663461538461539,0.07825789534592931,0.31325303150627476
7,0.2176454481121429,0.21722461154254583,0.5273508137432188,0.19411057692307693,0.08544303797468354,0.19411057692307693,0.42857142857142855,0.9759615384615384,0.13854697314352066,0.3151301757719081
8,0.2176039281956326,0.21732400422199413,0.32165461121157324,0.19441105769230768,0.15069318868583623,0.19441105769230768,0.7450271247739603,0.9711538461538461,0.24310143118148256,0.31340086746674317
9,0.2175883458654445,0.21719495242891404,0.4094710669077758,0.8058894230769231,0.12319168173598553,0.0,0.6166365280289331,0.0,0.1993047440353828,0.0
10,0.2176870692379867,0.21695840638130903,0.6809448462929476,0.1935096153846154,0.04023508137432188,0.1935096153846154,0.2007233273056058,0.9759615384615384,0.06478251899452796,0.3133375378898703
